"COD_LOJA","plu","NOM_SECAO","NOM_CATEG","NOM_SUBCATEG","NOM_GRUPO","NOM_SUBGRUPO","NOM_PROD","FILL.P","N.DAYS","S.DAYS","N.TRANS","PROFIT"
2435,25331,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA SECA","DOCES SECOS","BROA CAXAMBU F PROPRIA",59.57,752,448,698,4037.12
2435,95747,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA SECA","DOCES SECOS","COCADA SIRIA F PROPRIA",33.52,710,238,307,2305.25
2435,303057,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES DOCES","BRIOCHES","PAO BRIOCHE FRANCES FP",35.46,753,267,332,2277.83
2435,54003,"PADARIA","PADARIA E ROTISSERIE","PADARIA","ACOMPANHAMENTOS PADARIA","TORRADAS","PAO TORRADO E MOIDO FP",67.01,488,327,1001,4980.25
2435,5698677,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PADARIA E CONFEITARIA SAZONAL","COLOMBAS","BOLO PASCOA C/GOTAS CHOC 500G",11.32,689,78,149,1308.95
2435,40259,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA SECA","BOLOS CASEIROS","MUFFIM F PROPRIA",60.48,754,456,776,4365.76
2435,400947,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES DOCES","COBERTURA OU RECHEIO","TRANCA C/CREME E COCO MIX KG",100,1,1,2,15.16
2435,263757,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA GELADA","BOLOS GELADOS","BOLO  DE COCO GELADO FP GR",16.4,750,123,131,5921.43
2435,4869092,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES DOCES","FOLHADOS DOCES","ROCAMBOLE FOLHADO PASSAS FRANC 90GR",37.35,755,282,389,2582.52
2435,473736,"PADARIA","PADARIA E ROTISSERIE","PADARIA","CONFEITARIA GELADA","BOLOS GELADOS","BOLO PRESTIGIO",27.55,755,208,242,11385.42
2435,229692,"PADARIA","PADARIA E ROTISSERIE","PADARIA","PAES SALGADOS","PAES SALGADOS DIVERSOS","PAO SALGADO PIZZA",28.12,32,9,44,348.87
